Factor,feature,Portion,Design,n_simulation,N
X2,X2,0.6257680549804701,Definitive Screening Design,38,17
X3 (non-informative),X3,0.1044042280797673,Definitive Screening Design,38,17
Random Normal,Random Normal,0.20266675460225164,Definitive Screening Design,38,17
X1,X1,0.07373585274723551,Definitive Screening Design,39,17
X2,X2,0.6507668982199751,Definitive Screening Design,39,17
X3 (non-informative),X3,0.1543356156489995,Definitive Screening Design,39,17
Random Normal,Random Normal,0.12116163338378969,Definitive Screening Design,39,17
X1,X1,0.0722692531789275,Definitive Screening Design,40,17
X2,X2,0.6375095893145829,Definitive Screening Design,40,17
X3 (non-informative),X3,0.13612659975639313,Definitive Screening Design,40,17
Random Normal,Random Normal,0.15409455775009637,Definitive Screening Design,40,17
X1,X1,0.054159689837401576,Definitive Screening Design,41,17
X2,X2,0.6194784306543297,Definitive Screening Design,41,17
X3 (non-informative),X3,0.09282397472890104,Definitive Screening Design,41,17
Random Normal,Random Normal,0.23353790477936762,Definitive Screening Design,41,17
X1,X1,0.09314604166164382,Definitive Screening Design,42,17
X2,X2,0.6216561038129413,Definitive Screening Design,42,17
X3 (non-informative),X3,0.10275444421411013,Definitive Screening Design,42,17
Random Normal,Random Normal,0.18244341031130473,Definitive Screening Design,42,17
X1,X1,0.10672219868437988,Definitive Screening Design,43,17
X2,X2,0.5960060096195852,Definitive Screening Design,43,17
X3 (non-informative),X3,0.14123640077777608,Definitive Screening Design,43,17
Random Normal,Random Normal,0.15603539091825885,Definitive Screening Design,43,17
X1,X1,0.06241607314671289,Definitive Screening Design,44,17
X2,X2,0.6095031289191088,Definitive Screening Design,44,17
X3 (non-informative),X3,0.11248797231438312,Definitive Screening Design,44,17
Random Normal,Random Normal,0.21559282561979526,Definitive Screening Design,44,17
X1,X1,0.046625265271713096,Definitive Screening Design,45,17
X2,X2,0.6257545101767076,Definitive Screening Design,45,17
X3 (non-informative),X3,0.11692280650344045,Definitive Screening Design,45,17
Random Normal,Random Normal,0.21069741804813885,Definitive Screening Design,45,17
X1,X1,0.06459576567342916,Definitive Screening Design,46,17
X2,X2,0.6830810391715685,Definitive Screening Design,46,17
X3 (non-informative),X3,0.14781898360996892,Definitive Screening Design,46,17
Random Normal,Random Normal,0.10450421154503343,Definitive Screening Design,46,17
X1,X1,0.06734855635901937,Definitive Screening Design,47,17
X2,X2,0.6203245691262861,Definitive Screening Design,47,17
X3 (non-informative),X3,0.09443204546266358,Definitive Screening Design,47,17
Random Normal,Random Normal,0.21789482905203095,Definitive Screening Design,47,17
X1,X1,0.10545273332117663,Definitive Screening Design,48,17
X2,X2,0.6042307848917867,Definitive Screening Design,48,17
X3 (non-informative),X3,0.11886901477277773,Definitive Screening Design,48,17
Random Normal,Random Normal,0.171447467014259,Definitive Screening Design,48,17
X1,X1,0.07373529131425412,Definitive Screening Design,49,17
X2,X2,0.665976382861227,Definitive Screening Design,49,17
X3 (non-informative),X3,0.1501144967206805,Definitive Screening Design,49,17
Random Normal,Random Normal,0.11017382910383842,Definitive Screening Design,49,17
X1,X1,0.09286794359311815,Definitive Screening Design,50,17
X2,X2,0.6130796217299769,Definitive Screening Design,50,17
X3 (non-informative),X3,0.13572714064574723,Definitive Screening Design,50,17
Random Normal,Random Normal,0.15832529403115775,Definitive Screening Design,50,17
X1,X1,0.06959995750982549,Definitive Screening Design,51,17
X2,X2,0.7086637338010412,Definitive Screening Design,51,17
X3 (non-informative),X3,0.12064418831294424,Definitive Screening Design,51,17
Random Normal,Random Normal,0.10109212037618896,Definitive Screening Design,51,17
X1,X1,0.038701748998819015,Definitive Screening Design,52,17
X2,X2,0.5914776187492615,Definitive Screening Design,52,17
X3 (non-informative),X3,0.07543549502416855,Definitive Screening Design,52,17
Random Normal,Random Normal,0.29438513722775067,Definitive Screening Design,52,17
X1,X1,0.07083243601521767,Definitive Screening Design,53,17
X2,X2,0.630360756930916,Definitive Screening Design,53,17
X3 (non-informative),X3,0.10399700342591044,Definitive Screening Design,53,17
Random Normal,Random Normal,0.194809803627956,Definitive Screening Design,53,17
X1,X1,0.07973040926760813,Definitive Screening Design,54,17
X2,X2,0.6218986170178727,Definitive Screening Design,54,17
X3 (non-informative),X3,0.11961101986881134,Definitive Screening Design,54,17
Random Normal,Random Normal,0.17875995384570786,Definitive Screening Design,54,17
X1,X1,0.06493823452512645,Definitive Screening Design,55,17
X2,X2,0.686236309073508,Definitive Screening Design,55,17
X3 (non-informative),X3,0.14758257993149107,Definitive Screening Design,55,17
Random Normal,Random Normal,0.10124287646987451,Definitive Screening Design,55,17
X1,X1,0.06896624107169586,Definitive Screening Design,56,17
X2,X2,0.594956901642959,Definitive Screening Design,56,17
X3 (non-informative),X3,0.08303536241199275,Definitive Screening Design,56,17
Random Normal,Random Normal,0.25304149487335226,Definitive Screening Design,56,17
X1,X1,0.0758464246169327,Definitive Screening Design,57,17
X2,X2,0.6483055250247992,Definitive Screening Design,57,17
X3 (non-informative),X3,0.1410236637036101,Definitive Screening Design,57,17
Random Normal,Random Normal,0.13482438665465798,Definitive Screening Design,57,17
X1,X1,0.08143799130728557,Definitive Screening Design,58,17
X2,X2,0.6751269548865121,Definitive Screening Design,58,17
X3 (non-informative),X3,0.1288803771211882,Definitive Screening Design,58,17
Random Normal,Random Normal,0.11455467668501403,Definitive Screening Design,58,17
X1,X1,0.10307594138324648,Definitive Screening Design,59,17
X2,X2,0.5706031760739269,Definitive Screening Design,59,17
X3 (non-informative),X3,0.13889422373177543,Definitive Screening Design,59,17
Random Normal,Random Normal,0.1874266588110513,Definitive Screening Design,59,17
X1,X1,0.08567001973514164,Definitive Screening Design,60,17
X2,X2,0.6278464144394293,Definitive Screening Design,60,17
X3 (non-informative),X3,0.0688278816835276,Definitive Screening Design,60,17
Random Normal,Random Normal,0.21765568414190128,Definitive Screening Design,60,17
X1,X1,0.0726495020428746,Definitive Screening Design,61,17
X2,X2,0.6075641114872863,Definitive Screening Design,61,17
X3 (non-informative),X3,0.14247842183195988,Definitive Screening Design,61,17
Random Normal,Random Normal,0.1773079646378792,Definitive Screening Design,61,17
X1,X1,0.08187896835666517,Definitive Screening Design,62,17
X2,X2,0.6369880115751259,Definitive Screening Design,62,17
X3 (non-informative),X3,0.09232798034168488,Definitive Screening Design,62,17
Random Normal,Random Normal,0.18880503972652393,Definitive Screening Design,62,17
X1,X1,0.042164254047402906,Definitive Screening Design,63,17
X2,X2,0.6641341395848684,Definitive Screening Design,63,17
X3 (non-informative),X3,0.1257366367153824,Definitive Screening Design,63,17
Random Normal,Random Normal,0.16796496965234634,Definitive Screening Design,63,17
X1,X1,0.0896289709123673,Definitive Screening Design,64,17
X2,X2,0.5905045597748124,Definitive Screening Design,64,17
X3 (non-informative),X3,0.1422419252891561,Definitive Screening Design,64,17
Random Normal,Random Normal,0.17762454402366418,Definitive Screening Design,64,17
X1,X1,0.07636235900009883,Definitive Screening Design,65,17
X2,X2,0.6020502405667896,Definitive Screening Design,65,17
X3 (non-informative),X3,0.12249638383417813,Definitive Screening Design,65,17
Random Normal,Random Normal,0.19909101659893355,Definitive Screening Design,65,17
X1,X1,0.09812343567319637,Definitive Screening Design,66,17
X2,X2,0.6321725362806581,Definitive Screening Design,66,17
X3 (non-informative),X3,0.1155574695359278,Definitive Screening Design,66,17
Random Normal,Random Normal,0.1541465585102176,Definitive Screening Design,66,17
X1,X1,0.04265544911962051,Definitive Screening Design,67,17
X2,X2,0.5764845654149613,Definitive Screening Design,67,17
X3 (non-informative),X3,0.12264049895307069,Definitive Screening Design,67,17
Random Normal,Random Normal,0.25821948651234755,Definitive Screening Design,67,17
X1,X1,0.04745233235480777,Definitive Screening Design,68,17
X2,X2,0.5581690276341302,Definitive Screening Design,68,17
X3 (non-informative),X3,0.06731994867881885,Definitive Screening Design,68,17
Random Normal,Random Normal,0.32705869133224313,Definitive Screening Design,68,17
X1,X1,0.06834989630235881,Definitive Screening Design,69,17
X2,X2,0.6125870339160967,Definitive Screening Design,69,17
X3 (non-informative),X3,0.10094942380713724,Definitive Screening Design,69,17
Random Normal,Random Normal,0.21811364597440722,Definitive Screening Design,69,17
X1,X1,0.06090867827167428,Definitive Screening Design,70,17
X2,X2,0.6891709906308281,Definitive Screening Design,70,17
X3 (non-informative),X3,0.10307053035827242,Definitive Screening Design,70,17
Random Normal,Random Normal,0.14684980073922516,Definitive Screening Design,70,17
X1,X1,0.09077071341055161,Definitive Screening Design,71,17
X2,X2,0.6332981131348545,Definitive Screening Design,71,17
X3 (non-informative),X3,0.12380242367721221,Definitive Screening Design,71,17
Random Normal,Random Normal,0.15212874977738178,Definitive Screening Design,71,17
X1,X1,0.06941026278884792,Definitive Screening Design,72,17
X2,X2,0.5942826317812229,Definitive Screening Design,72,17
X3 (non-informative),X3,0.13063741995385236,Definitive Screening Design,72,17
Random Normal,Random Normal,0.20566968547607692,Definitive Screening Design,72,17
X1,X1,0.07733544502751159,Definitive Screening Design,73,17
X2,X2,0.6085052590043004,Definitive Screening Design,73,17
X3 (non-informative),X3,0.14961836882120677,Definitive Screening Design,73,17
Random Normal,Random Normal,0.1645409271469812,Definitive Screening Design,73,17
X1,X1,0.0706866922643268,Definitive Screening Design,74,17
X2,X2,0.5801174238846075,Definitive Screening Design,74,17
X3 (non-informative),X3,0.09572752202424609,Definitive Screening Design,74,17
Random Normal,Random Normal,0.25346836182681953,Definitive Screening Design,74,17
X1,X1,0.046440152362944555,Definitive Screening Design,75,17
X2,X2,0.4805346998288818,Definitive Screening Design,75,17
X3 (non-informative),X3,0.10846321549514017,Definitive Screening Design,75,17
Random Normal,Random Normal,0.36456193231303347,Definitive Screening Design,75,17
X1,X1,0.055485385229545284,Definitive Screening Design,76,17
X2,X2,0.6799623879430898,Definitive Screening Design,76,17
X3 (non-informative),X3,0.1379183755848871,Definitive Screening Design,76,17
Random Normal,Random Normal,0.12663385124247772,Definitive Screening Design,76,17
X1,X1,0.05288062919717986,Definitive Screening Design,77,17
X2,X2,0.6789054700407722,Definitive Screening Design,77,17
X3 (non-informative),X3,0.11520432344708952,Definitive Screening Design,77,17
Random Normal,Random Normal,0.15300957731495843,Definitive Screening Design,77,17
X1,X1,0.06083150269962541,Definitive Screening Design,78,17
X2,X2,0.6594183728473958,Definitive Screening Design,78,17
X3 (non-informative),X3,0.0941046403655748,Definitive Screening Design,78,17
Random Normal,Random Normal,0.18564548408740406,Definitive Screening Design,78,17
X1,X1,0.05457868507474321,Definitive Screening Design,79,17
X2,X2,0.6383406787325846,Definitive Screening Design,79,17
X3 (non-informative),X3,0.10715145339323524,Definitive Screening Design,79,17
Random Normal,Random Normal,0.19992918279943697,Definitive Screening Design,79,17
X1,X1,0.04162948471042003,Definitive Screening Design,80,17
X2,X2,0.6313297663515981,Definitive Screening Design,80,17
X3 (non-informative),X3,0.06692991513460485,Definitive Screening Design,80,17
Random Normal,Random Normal,0.260110833803377,Definitive Screening Design,80,17
X1,X1,0.047614154329335794,Definitive Screening Design,81,17
X2,X2,0.6681951348082161,Definitive Screening Design,81,17
X3 (non-informative),X3,0.10283637562058459,Definitive Screening Design,81,17
Random Normal,Random Normal,0.18135433524186348,Definitive Screening Design,81,17
X1,X1,0.05789102501891571,Definitive Screening Design,82,17
X2,X2,0.6091742570725491,Definitive Screening Design,82,17
X3 (non-informative),X3,0.10517894687975683,Definitive Screening Design,82,17
Random Normal,Random Normal,0.22775577102877836,Definitive Screening Design,82,17
X1,X1,0.031255005837634735,Definitive Screening Design,83,17
X2,X2,0.47480154255746715,Definitive Screening Design,83,17
X3 (non-informative),X3,0.08246972344227751,Definitive Screening Design,83,17
Random Normal,Random Normal,0.4114737281626206,Definitive Screening Design,83,17
X1,X1,0.07467739197672107,Definitive Screening Design,84,17
X2,X2,0.6237907079795943,Definitive Screening Design,84,17
X3 (non-informative),X3,0.09017403314698141,Definitive Screening Design,84,17
Random Normal,Random Normal,0.21135786689670305,Definitive Screening Design,84,17
X1,X1,0.05313070315488519,Definitive Screening Design,85,17
X2,X2,0.6655916510994269,Definitive Screening Design,85,17
X3 (non-informative),X3,0.1434884114253576,Definitive Screening Design,85,17
Random Normal,Random Normal,0.13778923432033038,Definitive Screening Design,85,17
X1,X1,0.10719235471280776,Definitive Screening Design,86,17
X2,X2,0.6497857395298002,Definitive Screening Design,86,17
X3 (non-informative),X3,0.10462243111329539,Definitive Screening Design,86,17
Random Normal,Random Normal,0.1383994746440967,Definitive Screening Design,86,17
