Factor,feature,Portion,Design,n_simulation,N
X1,X1,0.29276589817578297,RSM (I-optimal),381,16
X2,X2,0.5093154301065861,RSM (I-optimal),381,16
X3 (non-informative),X3,0.03716170561235934,RSM (I-optimal),381,16
Random Normal,Random Normal,0.16075696610527157,RSM (I-optimal),381,16
X1,X1,0.23942867947135527,RSM (I-optimal),382,16
X2,X2,0.5626447050195974,RSM (I-optimal),382,16
X3 (non-informative),X3,0.028114076845473433,RSM (I-optimal),382,16
Random Normal,Random Normal,0.1698125386635738,RSM (I-optimal),382,16
X1,X1,0.20312879565582853,RSM (I-optimal),383,16
X2,X2,0.47574623243169767,RSM (I-optimal),383,16
X3 (non-informative),X3,0.025700494976238997,RSM (I-optimal),383,16
Random Normal,Random Normal,0.29542447693623486,RSM (I-optimal),383,16
X1,X1,0.31281555619495005,RSM (I-optimal),384,16
X2,X2,0.5190978618968675,RSM (I-optimal),384,16
X3 (non-informative),X3,0.03455272835332898,RSM (I-optimal),384,16
Random Normal,Random Normal,0.1335338535548536,RSM (I-optimal),384,16
X1,X1,0.21742238228822058,RSM (I-optimal),385,16
X2,X2,0.5460144565122456,RSM (I-optimal),385,16
X3 (non-informative),X3,0.06536150237996938,RSM (I-optimal),385,16
Random Normal,Random Normal,0.1712016588195645,RSM (I-optimal),385,16
X1,X1,0.278994956637612,RSM (I-optimal),386,16
X2,X2,0.6081833193995281,RSM (I-optimal),386,16
X3 (non-informative),X3,0.01636336632361447,RSM (I-optimal),386,16
Random Normal,Random Normal,0.09645835763924542,RSM (I-optimal),386,16
X1,X1,0.2888078704873746,RSM (I-optimal),387,16
X2,X2,0.5551050319688015,RSM (I-optimal),387,16
X3 (non-informative),X3,0.030743237663597874,RSM (I-optimal),387,16
Random Normal,Random Normal,0.12534385988022595,RSM (I-optimal),387,16
X1,X1,0.25182573394018004,RSM (I-optimal),388,16
X2,X2,0.5353822461204994,RSM (I-optimal),388,16
X3 (non-informative),X3,0.05006955497790975,RSM (I-optimal),388,16
Random Normal,Random Normal,0.16272246496141077,RSM (I-optimal),388,16
X1,X1,0.2375027983115467,RSM (I-optimal),389,16
X2,X2,0.6058129284039854,RSM (I-optimal),389,16
X3 (non-informative),X3,0.019886577022472336,RSM (I-optimal),389,16
Random Normal,Random Normal,0.13679769626199573,RSM (I-optimal),389,16
X1,X1,0.20243122858846527,RSM (I-optimal),390,16
X2,X2,0.5357184706841607,RSM (I-optimal),390,16
X3 (non-informative),X3,0.02703432607265975,RSM (I-optimal),390,16
Random Normal,Random Normal,0.23481597465471435,RSM (I-optimal),390,16
X1,X1,0.20994333359867787,RSM (I-optimal),391,16
X2,X2,0.5814800951026075,RSM (I-optimal),391,16
X3 (non-informative),X3,0.03338181795217687,RSM (I-optimal),391,16
Random Normal,Random Normal,0.17519475334653792,RSM (I-optimal),391,16
X1,X1,0.26936822496301643,RSM (I-optimal),392,16
X2,X2,0.5905233832446838,RSM (I-optimal),392,16
X3 (non-informative),X3,0.028354203741859697,RSM (I-optimal),392,16
Random Normal,Random Normal,0.11175418805044006,RSM (I-optimal),392,16
X1,X1,0.19072165698125038,RSM (I-optimal),393,16
X2,X2,0.5273577941116894,RSM (I-optimal),393,16
X3 (non-informative),X3,0.038808307657367994,RSM (I-optimal),393,16
Random Normal,Random Normal,0.24311224124969225,RSM (I-optimal),393,16
X1,X1,0.20653657423040758,RSM (I-optimal),394,16
X2,X2,0.5601206542757887,RSM (I-optimal),394,16
X3 (non-informative),X3,0.048358181046732944,RSM (I-optimal),394,16
Random Normal,Random Normal,0.18498459044707072,RSM (I-optimal),394,16
X1,X1,0.19421477767362874,RSM (I-optimal),395,16
X2,X2,0.5190092796838663,RSM (I-optimal),395,16
X3 (non-informative),X3,0.03759369075097259,RSM (I-optimal),395,16
Random Normal,Random Normal,0.2491822518915323,RSM (I-optimal),395,16
X1,X1,0.213316782494698,RSM (I-optimal),396,16
X2,X2,0.5666484955795653,RSM (I-optimal),396,16
X3 (non-informative),X3,0.03571900513974346,RSM (I-optimal),396,16
Random Normal,Random Normal,0.18431571678599326,RSM (I-optimal),396,16
X1,X1,0.23970802194445656,RSM (I-optimal),397,16
X2,X2,0.577223578284585,RSM (I-optimal),397,16
X3 (non-informative),X3,0.024889905470226365,RSM (I-optimal),397,16
Random Normal,Random Normal,0.15817849430073191,RSM (I-optimal),397,16
X1,X1,0.21697902454465723,RSM (I-optimal),398,16
X2,X2,0.48502382109982123,RSM (I-optimal),398,16
X3 (non-informative),X3,0.03680210014280349,RSM (I-optimal),398,16
Random Normal,Random Normal,0.26119505421271805,RSM (I-optimal),398,16
X1,X1,0.11588581801433301,RSM (I-optimal),399,16
X2,X2,0.5625996550103272,RSM (I-optimal),399,16
X3 (non-informative),X3,0.03103779138594909,RSM (I-optimal),399,16
Random Normal,Random Normal,0.29047673558939074,RSM (I-optimal),399,16
X1,X1,0.21109117756120022,RSM (I-optimal),400,16
X2,X2,0.462901834981972,RSM (I-optimal),400,16
X3 (non-informative),X3,0.041627825353477844,RSM (I-optimal),400,16
Random Normal,Random Normal,0.28437916210334996,RSM (I-optimal),400,16
X1,X1,0.3269159973159791,RSM (I-optimal),401,16
X2,X2,0.5573445700820553,RSM (I-optimal),401,16
X3 (non-informative),X3,0.014995203322200229,RSM (I-optimal),401,16
Random Normal,Random Normal,0.10074422927976538,RSM (I-optimal),401,16
X1,X1,0.1578329939101959,RSM (I-optimal),402,16
X2,X2,0.5865377247758004,RSM (I-optimal),402,16
X3 (non-informative),X3,0.025806884996548617,RSM (I-optimal),402,16
Random Normal,Random Normal,0.22982239631745516,RSM (I-optimal),402,16
X1,X1,0.21214544818063957,RSM (I-optimal),403,16
X2,X2,0.5107900975651504,RSM (I-optimal),403,16
X3 (non-informative),X3,0.054506957638941034,RSM (I-optimal),403,16
Random Normal,Random Normal,0.222557496615269,RSM (I-optimal),403,16
X1,X1,0.2769143566395309,RSM (I-optimal),404,16
X2,X2,0.5037556745308347,RSM (I-optimal),404,16
X3 (non-informative),X3,0.03176720212993319,RSM (I-optimal),404,16
Random Normal,Random Normal,0.18756276669970126,RSM (I-optimal),404,16
X1,X1,0.27070312306229205,RSM (I-optimal),405,16
X2,X2,0.6202449423770623,RSM (I-optimal),405,16
X3 (non-informative),X3,0.020313826757750616,RSM (I-optimal),405,16
Random Normal,Random Normal,0.08873810780289518,RSM (I-optimal),405,16
X1,X1,0.23956930042243704,RSM (I-optimal),406,16
X2,X2,0.5743301108058111,RSM (I-optimal),406,16
X3 (non-informative),X3,0.041846475176180446,RSM (I-optimal),406,16
Random Normal,Random Normal,0.14425411359557141,RSM (I-optimal),406,16
X1,X1,0.23790840095026602,RSM (I-optimal),407,16
X2,X2,0.4577142759103037,RSM (I-optimal),407,16
X3 (non-informative),X3,0.0405404698990879,RSM (I-optimal),407,16
Random Normal,Random Normal,0.26383685324034223,RSM (I-optimal),407,16
X1,X1,0.23324872370794808,RSM (I-optimal),408,16
X2,X2,0.6133978466135623,RSM (I-optimal),408,16
X3 (non-informative),X3,0.022196411911957918,RSM (I-optimal),408,16
Random Normal,Random Normal,0.1311570177665317,RSM (I-optimal),408,16
X1,X1,0.2356352806647227,RSM (I-optimal),409,16
X2,X2,0.5939293006759241,RSM (I-optimal),409,16
X3 (non-informative),X3,0.028619624244235767,RSM (I-optimal),409,16
Random Normal,Random Normal,0.14181579441511752,RSM (I-optimal),409,16
X1,X1,0.16498672350413873,RSM (I-optimal),410,16
X2,X2,0.5019174190498136,RSM (I-optimal),410,16
X3 (non-informative),X3,0.015546047621831887,RSM (I-optimal),410,16
Random Normal,Random Normal,0.3175498098242159,RSM (I-optimal),410,16
X1,X1,0.18765952225350932,RSM (I-optimal),411,16
X2,X2,0.5172986866908301,RSM (I-optimal),411,16
X3 (non-informative),X3,0.04658153378396958,RSM (I-optimal),411,16
Random Normal,Random Normal,0.24846025727169094,RSM (I-optimal),411,16
X1,X1,0.17470774776380593,RSM (I-optimal),412,16
X2,X2,0.49778248729394264,RSM (I-optimal),412,16
X3 (non-informative),X3,0.024147967493464168,RSM (I-optimal),412,16
Random Normal,Random Normal,0.30336179744878733,RSM (I-optimal),412,16
X1,X1,0.23542991128220636,RSM (I-optimal),413,16
X2,X2,0.5798872998735596,RSM (I-optimal),413,16
X3 (non-informative),X3,0.024184771472779587,RSM (I-optimal),413,16
Random Normal,Random Normal,0.16049801737145444,RSM (I-optimal),413,16
X1,X1,0.13802491162950864,RSM (I-optimal),414,16
X2,X2,0.47888987404280403,RSM (I-optimal),414,16
X3 (non-informative),X3,0.025994478511962727,RSM (I-optimal),414,16
Random Normal,Random Normal,0.3570907358157246,RSM (I-optimal),414,16
X1,X1,0.20559062362071895,RSM (I-optimal),415,16
X2,X2,0.5685360302532886,RSM (I-optimal),415,16
X3 (non-informative),X3,0.02868051328266358,RSM (I-optimal),415,16
Random Normal,Random Normal,0.19719283284332892,RSM (I-optimal),415,16
X1,X1,0.2377879200774171,RSM (I-optimal),416,16
X2,X2,0.6430110572580717,RSM (I-optimal),416,16
X3 (non-informative),X3,0.03155743088320264,RSM (I-optimal),416,16
Random Normal,Random Normal,0.08764359178130851,RSM (I-optimal),416,16
X1,X1,0.14469023257453736,RSM (I-optimal),417,16
X2,X2,0.5288600716319753,RSM (I-optimal),417,16
X3 (non-informative),X3,0.05151724787698201,RSM (I-optimal),417,16
Random Normal,Random Normal,0.2749324479165054,RSM (I-optimal),417,16
X1,X1,0.23046754448252635,RSM (I-optimal),418,16
X2,X2,0.5438717152153284,RSM (I-optimal),418,16
X3 (non-informative),X3,0.02768933953068533,RSM (I-optimal),418,16
Random Normal,Random Normal,0.19797140077145994,RSM (I-optimal),418,16
X1,X1,0.16520145886764404,RSM (I-optimal),419,16
X2,X2,0.5591099038912382,RSM (I-optimal),419,16
X3 (non-informative),X3,0.022424561946045918,RSM (I-optimal),419,16
Random Normal,Random Normal,0.2532640752950719,RSM (I-optimal),419,16
X1,X1,0.2831393965755856,RSM (I-optimal),420,16
X2,X2,0.4992142926149925,RSM (I-optimal),420,16
X3 (non-informative),X3,0.03927525340490595,RSM (I-optimal),420,16
Random Normal,Random Normal,0.17837105740451595,RSM (I-optimal),420,16
X1,X1,0.2785156818456256,RSM (I-optimal),421,16
X2,X2,0.5242865644031337,RSM (I-optimal),421,16
X3 (non-informative),X3,0.04607988172209252,RSM (I-optimal),421,16
Random Normal,Random Normal,0.15111787202914823,RSM (I-optimal),421,16
X1,X1,0.22477361863454998,RSM (I-optimal),422,16
X2,X2,0.5229084821980386,RSM (I-optimal),422,16
X3 (non-informative),X3,0.034002188017275295,RSM (I-optimal),422,16
Random Normal,Random Normal,0.21831571115013607,RSM (I-optimal),422,16
X1,X1,0.24752514223428287,RSM (I-optimal),423,16
X2,X2,0.606061647035655,RSM (I-optimal),423,16
X3 (non-informative),X3,0.04101790500718284,RSM (I-optimal),423,16
Random Normal,Random Normal,0.10539530572287921,RSM (I-optimal),423,16
X1,X1,0.13193830621179323,RSM (I-optimal),424,16
X2,X2,0.4682265637109398,RSM (I-optimal),424,16
X3 (non-informative),X3,0.024659501516861818,RSM (I-optimal),424,16
Random Normal,Random Normal,0.37517562856040515,RSM (I-optimal),424,16
X1,X1,0.2506183968784393,RSM (I-optimal),425,16
X2,X2,0.5736011684566086,RSM (I-optimal),425,16
X3 (non-informative),X3,0.0346447625432831,RSM (I-optimal),425,16
Random Normal,Random Normal,0.1411356721216691,RSM (I-optimal),425,16
X1,X1,0.25706826867662314,RSM (I-optimal),426,16
X2,X2,0.532433704790885,RSM (I-optimal),426,16
X3 (non-informative),X3,0.04505599656298605,RSM (I-optimal),426,16
Random Normal,Random Normal,0.16544202996950585,RSM (I-optimal),426,16
X1,X1,0.26670748465711197,RSM (I-optimal),427,16
X2,X2,0.49941261527330405,RSM (I-optimal),427,16
X3 (non-informative),X3,0.0342029779667408,RSM (I-optimal),427,16
Random Normal,Random Normal,0.19967692210284319,RSM (I-optimal),427,16
X1,X1,0.2057115056379174,RSM (I-optimal),428,16
X2,X2,0.5808100153288664,RSM (I-optimal),428,16
X3 (non-informative),X3,0.037085168992526146,RSM (I-optimal),428,16
Random Normal,Random Normal,0.17639331004068998,RSM (I-optimal),428,16
X1,X1,0.2604440973084067,RSM (I-optimal),429,16
X2,X2,0.5016986578358537,RSM (I-optimal),429,16
X3 (non-informative),X3,0.03972997658916931,RSM (I-optimal),429,16
Random Normal,Random Normal,0.1981272682665703,RSM (I-optimal),429,16
X1,X1,0.19739123532139513,RSM (I-optimal),430,16
X2,X2,0.4854186007431595,RSM (I-optimal),430,16
X3 (non-informative),X3,0.03856679489716282,RSM (I-optimal),430,16
Random Normal,Random Normal,0.2786233690382825,RSM (I-optimal),430,16
X1,X1,0.24006564422675403,RSM (I-optimal),431,16
X2,X2,0.5329320524301815,RSM (I-optimal),431,16
X3 (non-informative),X3,0.022334999128488377,RSM (I-optimal),431,16
Random Normal,Random Normal,0.2046673042145761,RSM (I-optimal),431,16
X1,X1,0.24773184927102768,RSM (I-optimal),432,16
X2,X2,0.43251085040960424,RSM (I-optimal),432,16
X3 (non-informative),X3,0.039979303703397924,RSM (I-optimal),432,16
Random Normal,Random Normal,0.2797779966159702,RSM (I-optimal),432,16
X1,X1,0.22014185788768492,RSM (I-optimal),433,16
X2,X2,0.5974747166453753,RSM (I-optimal),433,16
X3 (non-informative),X3,0.03142857648717675,RSM (I-optimal),433,16
Random Normal,Random Normal,0.150954848979763,RSM (I-optimal),433,16
X1,X1,0.1540491597138591,RSM (I-optimal),434,16
X2,X2,0.607264162138412,RSM (I-optimal),434,16
X3 (non-informative),X3,0.01874711004882681,RSM (I-optimal),434,16
Random Normal,Random Normal,0.21993956809890208,RSM (I-optimal),434,16
X1,X1,0.22633392802330454,RSM (I-optimal),435,16
X2,X2,0.5361241000142298,RSM (I-optimal),435,16
X3 (non-informative),X3,0.023288126271299635,RSM (I-optimal),435,16
Random Normal,Random Normal,0.21425384569116598,RSM (I-optimal),435,16
X1,X1,0.26375610888896966,RSM (I-optimal),436,16
X2,X2,0.5575990381625939,RSM (I-optimal),436,16
X3 (non-informative),X3,0.044666084002351385,RSM (I-optimal),436,16
Random Normal,Random Normal,0.13397876894608504,RSM (I-optimal),436,16
X1,X1,0.10620229000677289,RSM (I-optimal),437,16
X2,X2,0.52678924246091,RSM (I-optimal),437,16
X3 (non-informative),X3,0.019162513345092072,RSM (I-optimal),437,16
Random Normal,Random Normal,0.347845954187225,RSM (I-optimal),437,16
X1,X1,0.11148050455053152,RSM (I-optimal),438,16
X2,X2,0.48110275386607393,RSM (I-optimal),438,16
X3 (non-informative),X3,0.03119991143509283,RSM (I-optimal),438,16
Random Normal,Random Normal,0.37621683014830165,RSM (I-optimal),438,16
X1,X1,0.27662674005798177,RSM (I-optimal),439,16
X2,X2,0.5188144088862078,RSM (I-optimal),439,16
X3 (non-informative),X3,0.031635880979520706,RSM (I-optimal),439,16
Random Normal,Random Normal,0.17292297007628968,RSM (I-optimal),439,16
X1,X1,0.23765343169082823,RSM (I-optimal),440,16
X2,X2,0.5874403685220484,RSM (I-optimal),440,16
X3 (non-informative),X3,0.044367091616447134,RSM (I-optimal),440,16
Random Normal,Random Normal,0.1305391081706762,RSM (I-optimal),440,16
X1,X1,0.214087518973833,RSM (I-optimal),441,16
X2,X2,0.5143047499077262,RSM (I-optimal),441,16
X3 (non-informative),X3,0.07560907144173382,RSM (I-optimal),441,16
Random Normal,Random Normal,0.195998659676707,RSM (I-optimal),441,16
X1,X1,0.2949799690003245,RSM (I-optimal),442,16
X2,X2,0.5319951579878689,RSM (I-optimal),442,16
X3 (non-informative),X3,0.06710743327305224,RSM (I-optimal),442,16
Random Normal,Random Normal,0.10591743973875437,RSM (I-optimal),442,16
X1,X1,0.17171403862884624,RSM (I-optimal),443,16
X2,X2,0.5084044429923108,RSM (I-optimal),443,16
X3 (non-informative),X3,0.054219242736874534,RSM (I-optimal),443,16
Random Normal,Random Normal,0.2656622756419684,RSM (I-optimal),443,16
X1,X1,0.2862595866634438,RSM (I-optimal),444,16
X2,X2,0.49689640578125427,RSM (I-optimal),444,16
X3 (non-informative),X3,0.023256170731857224,RSM (I-optimal),444,16
Random Normal,Random Normal,0.19358783682344466,RSM (I-optimal),444,16
X1,X1,0.13631815964657135,RSM (I-optimal),445,16
X2,X2,0.5456039762382872,RSM (I-optimal),445,16
X3 (non-informative),X3,0.02487768325666812,RSM (I-optimal),445,16
Random Normal,Random Normal,0.2932001808584733,RSM (I-optimal),445,16
X1,X1,0.22300698117012213,RSM (I-optimal),446,16
X2,X2,0.5960579908843914,RSM (I-optimal),446,16
X3 (non-informative),X3,0.06079943632867871,RSM (I-optimal),446,16
Random Normal,Random Normal,0.12013559161680765,RSM (I-optimal),446,16
X1,X1,0.24258979738792297,RSM (I-optimal),447,16
X2,X2,0.5682579994384293,RSM (I-optimal),447,16
X3 (non-informative),X3,0.040013541363462087,RSM (I-optimal),447,16
Random Normal,Random Normal,0.14913866181018573,RSM (I-optimal),447,16
X1,X1,0.20312021725988877,RSM (I-optimal),448,16
X2,X2,0.480375541331305,RSM (I-optimal),448,16
X3 (non-informative),X3,0.03728780245117045,RSM (I-optimal),448,16
Random Normal,Random Normal,0.2792164389576358,RSM (I-optimal),448,16
X1,X1,0.2477948262159433,RSM (I-optimal),449,16
X2,X2,0.5563549761096487,RSM (I-optimal),449,16
X3 (non-informative),X3,0.02854749419454893,RSM (I-optimal),449,16
Random Normal,Random Normal,0.16730270347985915,RSM (I-optimal),449,16
X1,X1,0.24871771291844777,RSM (I-optimal),450,16
X2,X2,0.545599385272255,RSM (I-optimal),450,16
X3 (non-informative),X3,0.040992256493988244,RSM (I-optimal),450,16
Random Normal,Random Normal,0.164690645315309,RSM (I-optimal),450,16
X1,X1,0.1933424533506495,RSM (I-optimal),451,16
X2,X2,0.5701114889051018,RSM (I-optimal),451,16
X3 (non-informative),X3,0.037075807329851516,RSM (I-optimal),451,16
Random Normal,Random Normal,0.19947025041439714,RSM (I-optimal),451,16
X1,X1,0.26136809273059336,RSM (I-optimal),452,16
X2,X2,0.4504300511431781,RSM (I-optimal),452,16
X3 (non-informative),X3,0.04921254934155199,RSM (I-optimal),452,16
Random Normal,Random Normal,0.23898930678467656,RSM (I-optimal),452,16
X1,X1,0.23199927913217758,RSM (I-optimal),453,16
X2,X2,0.6117060202778054,RSM (I-optimal),453,16
X3 (non-informative),X3,0.01886505173369549,RSM (I-optimal),453,16
Random Normal,Random Normal,0.1374296488563216,RSM (I-optimal),453,16
X1,X1,0.1991052647556054,RSM (I-optimal),454,16
X2,X2,0.5899605770672476,RSM (I-optimal),454,16
X3 (non-informative),X3,0.02962030212745097,RSM (I-optimal),454,16
Random Normal,Random Normal,0.18131385604969621,RSM (I-optimal),454,16
X1,X1,0.14537417944805958,RSM (I-optimal),455,16
X2,X2,0.5162540730592058,RSM (I-optimal),455,16
X3 (non-informative),X3,0.03332811599649079,RSM (I-optimal),455,16
Random Normal,Random Normal,0.3050436314962439,RSM (I-optimal),455,16
X1,X1,0.13198616076007935,RSM (I-optimal),456,16
X2,X2,0.5453892612120581,RSM (I-optimal),456,16
X3 (non-informative),X3,0.04612732005982789,RSM (I-optimal),456,16
Random Normal,Random Normal,0.2764972579680346,RSM (I-optimal),456,16
X1,X1,0.18716188362323405,RSM (I-optimal),457,16
X2,X2,0.5258678893504264,RSM (I-optimal),457,16
X3 (non-informative),X3,0.03468079756501432,RSM (I-optimal),457,16
Random Normal,Random Normal,0.2522894294613252,RSM (I-optimal),457,16
X1,X1,0.11700877707121372,RSM (I-optimal),458,16
X2,X2,0.4215034798347896,RSM (I-optimal),458,16
X3 (non-informative),X3,0.02012599793797273,RSM (I-optimal),458,16
Random Normal,Random Normal,0.44136174515602394,RSM (I-optimal),458,16
X1,X1,0.27701930906378225,RSM (I-optimal),459,16
X2,X2,0.5185938381857581,RSM (I-optimal),459,16
X3 (non-informative),X3,0.028521157277386616,RSM (I-optimal),459,16
Random Normal,Random Normal,0.1758656954730729,RSM (I-optimal),459,16
X1,X1,0.2808952763947314,RSM (I-optimal),460,16
X2,X2,0.5424210588861087,RSM (I-optimal),460,16
X3 (non-informative),X3,0.03081660737946061,RSM (I-optimal),460,16
Random Normal,Random Normal,0.14586705733969932,RSM (I-optimal),460,16
X1,X1,0.2196732154629564,RSM (I-optimal),461,16
X2,X2,0.5712076923220479,RSM (I-optimal),461,16
X3 (non-informative),X3,0.026823087343750118,RSM (I-optimal),461,16
Random Normal,Random Normal,0.18229600487124561,RSM (I-optimal),461,16
X1,X1,0.24812639890173507,RSM (I-optimal),462,16
X2,X2,0.5536551361044467,RSM (I-optimal),462,16
X3 (non-informative),X3,0.0492248824725417,RSM (I-optimal),462,16
Random Normal,Random Normal,0.14899358252127642,RSM (I-optimal),462,16
X1,X1,0.30136636313553555,RSM (I-optimal),463,16
X2,X2,0.5426617849322425,RSM (I-optimal),463,16
X3 (non-informative),X3,0.0503145617000441,RSM (I-optimal),463,16
Random Normal,Random Normal,0.10565729023217786,RSM (I-optimal),463,16
X1,X1,0.259232925945959,RSM (I-optimal),464,16
X2,X2,0.470731456188418,RSM (I-optimal),464,16
X3 (non-informative),X3,0.04859916251815013,RSM (I-optimal),464,16
Random Normal,Random Normal,0.22143645534747286,RSM (I-optimal),464,16
X1,X1,0.21340359552113364,RSM (I-optimal),465,16
X2,X2,0.5951495715876439,RSM (I-optimal),465,16
X3 (non-informative),X3,0.0034350384676219933,RSM (I-optimal),465,16
Random Normal,Random Normal,0.18801179442360055,RSM (I-optimal),465,16
X1,X1,0.2407997040396452,RSM (I-optimal),466,16
X2,X2,0.5572040041837888,RSM (I-optimal),466,16
X3 (non-informative),X3,0.03914418374871086,RSM (I-optimal),466,16
Random Normal,Random Normal,0.16285210802785519,RSM (I-optimal),466,16
X1,X1,0.26045378094680144,RSM (I-optimal),467,16
X2,X2,0.46105548141630426,RSM (I-optimal),467,16
X3 (non-informative),X3,0.028109087957007527,RSM (I-optimal),467,16
Random Normal,Random Normal,0.25038164967988674,RSM (I-optimal),467,16
X1,X1,0.1629511880242739,RSM (I-optimal),468,16
X2,X2,0.5670864798323143,RSM (I-optimal),468,16
X3 (non-informative),X3,0.01925568161987476,RSM (I-optimal),468,16
Random Normal,Random Normal,0.250706650523537,RSM (I-optimal),468,16
X1,X1,0.1872022331699291,RSM (I-optimal),469,16
X2,X2,0.6034122524423337,RSM (I-optimal),469,16
X3 (non-informative),X3,0.03731039721493481,RSM (I-optimal),469,16
Random Normal,Random Normal,0.1720751171728024,RSM (I-optimal),469,16
X1,X1,0.2340840413171965,RSM (I-optimal),470,16
X2,X2,0.4697705886298846,RSM (I-optimal),470,16
X3 (non-informative),X3,0.04426834800965299,RSM (I-optimal),470,16
Random Normal,Random Normal,0.25187702204326595,RSM (I-optimal),470,16
X1,X1,0.21677443525461773,RSM (I-optimal),471,16
X2,X2,0.5635994746718822,RSM (I-optimal),471,16
X3 (non-informative),X3,0.03732168290867243,RSM (I-optimal),471,16
Random Normal,Random Normal,0.18230440716482765,RSM (I-optimal),471,16
X1,X1,0.2259641736585345,RSM (I-optimal),472,16
X2,X2,0.5611743005438847,RSM (I-optimal),472,16
X3 (non-informative),X3,0.026423946235898554,RSM (I-optimal),472,16
Random Normal,Random Normal,0.18643757956168228,RSM (I-optimal),472,16
X1,X1,0.13778555783151297,RSM (I-optimal),473,16
X2,X2,0.4690653624245375,RSM (I-optimal),473,16
X3 (non-informative),X3,0.03887077884895204,RSM (I-optimal),473,16
Random Normal,Random Normal,0.35427830089499746,RSM (I-optimal),473,16
X1,X1,0.16286575325469566,RSM (I-optimal),474,16
X2,X2,0.3958911339876673,RSM (I-optimal),474,16
X3 (non-informative),X3,0.03183913967545565,RSM (I-optimal),474,16
Random Normal,Random Normal,0.40940397308218146,RSM (I-optimal),474,16
X1,X1,0.09308419039482749,RSM (I-optimal),475,16
X2,X2,0.2034474545665409,RSM (I-optimal),475,16
X3 (non-informative),X3,0.022352597607260594,RSM (I-optimal),475,16
Random Normal,Random Normal,0.6811157574313711,RSM (I-optimal),475,16
X1,X1,0.22363478681161003,RSM (I-optimal),476,16
X2,X2,0.5845565042216526,RSM (I-optimal),476,16
X3 (non-informative),X3,0.04638925534892408,RSM (I-optimal),476,16
Random Normal,Random Normal,0.14541945361781328,RSM (I-optimal),476,16
X1,X1,0.24090575207727194,RSM (I-optimal),477,16
X2,X2,0.5308298543221636,RSM (I-optimal),477,16
X3 (non-informative),X3,0.02092817245595971,RSM (I-optimal),477,16
Random Normal,Random Normal,0.20733622114460476,RSM (I-optimal),477,16
X1,X1,0.261661547115843,RSM (I-optimal),478,16
X2,X2,0.5380339223288768,RSM (I-optimal),478,16
X3 (non-informative),X3,0.042895969044953595,RSM (I-optimal),478,16
Random Normal,Random Normal,0.1574085615103266,RSM (I-optimal),478,16
X1,X1,0.25641397642806896,RSM (I-optimal),479,16
X2,X2,0.5016744628071665,RSM (I-optimal),479,16
X3 (non-informative),X3,0.05475752544628168,RSM (I-optimal),479,16
Random Normal,Random Normal,0.18715403531848274,RSM (I-optimal),479,16
X1,X1,0.22569110356051186,RSM (I-optimal),480,16
X2,X2,0.5959985382531484,RSM (I-optimal),480,16
X3 (non-informative),X3,0.0343936021636931,RSM (I-optimal),480,16
Random Normal,Random Normal,0.14391675602264667,RSM (I-optimal),480,16
X1,X1,0.25901355969787154,RSM (I-optimal),481,16
X2,X2,0.5531216852907491,RSM (I-optimal),481,16
X3 (non-informative),X3,0.04249343832751418,RSM (I-optimal),481,16
Random Normal,Random Normal,0.14537131668386527,RSM (I-optimal),481,16
X1,X1,0.1537283921648494,RSM (I-optimal),482,16
X2,X2,0.6026132503556196,RSM (I-optimal),482,16
X3 (non-informative),X3,0.032247481572674104,RSM (I-optimal),482,16
Random Normal,Random Normal,0.21141087590685684,RSM (I-optimal),482,16
X1,X1,0.22629801856640022,RSM (I-optimal),483,16
X2,X2,0.5153432120075198,RSM (I-optimal),483,16
X3 (non-informative),X3,0.048455924672867946,RSM (I-optimal),483,16
Random Normal,Random Normal,0.20990284475321214,RSM (I-optimal),483,16
X1,X1,0.27189740714436694,RSM (I-optimal),484,16
X2,X2,0.5915614789128659,RSM (I-optimal),484,16
X3 (non-informative),X3,0.0273343573516836,RSM (I-optimal),484,16
Random Normal,Random Normal,0.10920675659108345,RSM (I-optimal),484,16
X1,X1,0.24883345163717996,RSM (I-optimal),485,16
X2,X2,0.5616100093509813,RSM (I-optimal),485,16
X3 (non-informative),X3,0.025305585402680346,RSM (I-optimal),485,16
Random Normal,Random Normal,0.16425095360915834,RSM (I-optimal),485,16
X1,X1,0.14306367599006833,RSM (I-optimal),486,16
X2,X2,0.40609226366553286,RSM (I-optimal),486,16
X3 (non-informative),X3,0.051185498626781116,RSM (I-optimal),486,16
Random Normal,Random Normal,0.39965856171761777,RSM (I-optimal),486,16
X1,X1,0.22266887892711748,RSM (I-optimal),487,16
X2,X2,0.44099203357746053,RSM (I-optimal),487,16
X3 (non-informative),X3,0.024569935491881974,RSM (I-optimal),487,16
Random Normal,Random Normal,0.31176915200353994,RSM (I-optimal),487,16
X1,X1,0.20562575457809623,RSM (I-optimal),488,16
X2,X2,0.48422242295948537,RSM (I-optimal),488,16
X3 (non-informative),X3,0.029156463997588738,RSM (I-optimal),488,16
Random Normal,Random Normal,0.2809953584648296,RSM (I-optimal),488,16
X1,X1,0.31224857054585564,RSM (I-optimal),489,16
X2,X2,0.5364964037916288,RSM (I-optimal),489,16
X3 (non-informative),X3,0.0308677737069421,RSM (I-optimal),489,16
Random Normal,Random Normal,0.1203872519555735,RSM (I-optimal),489,16
X1,X1,0.222789425051147,RSM (I-optimal),490,16
